"gscStatus","url","path","lastGscDate","pageType","currentIndexability","inCurrentSitemap","lastMaterialChange","registryReviewAt","internalLinkSourceCount","sampleInternalLinkSources","sixMonthClicks","sixMonthImpressions","action","destination","rationale","nextReview"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/secured-business-loans-australia","/resources/guides/secured-business-loans-australia","Jun 17, 2026","redirect","redirected","false","2026-08-05","2026-09-02","0","none found","unavailable","unavailable","merge","/resources/guides/secured-vs-unsecured-business-loans-australia","Existing approved consolidation is retained as a direct permanent redirect to /resources/guides/secured-vs-unsecured-business-loans-australia.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/superannuation-guarantee-charge-business-finance-options-australia","/resources/guides/superannuation-guarantee-charge-business-finance-options-australia","Jul 18, 2026","guide","indexable","true","2026-08-06","2027-02-02","0","none found","0","14","improve","","No literal contextual internal-link source was found; add a relevant link rather than creating another overlapping page.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/vendor-finance-vs-business-acquisition-loan-in-australia","/resources/guides/vendor-finance-vs-business-acquisition-loan-in-australia","Aug 7, 2026","guide","indexable","true","2026-08-06","2027-02-02","1","src/content/guides/business-acquisition-finance-australia.md","1","99","improve","","Historical demand is meaningful; preserve the URL and improve query alignment, opening answer and internal links.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/guides/when-commercial-bridging-finance-makes-sense-in-australia-and-when-it-does-not","/resources/guides/when-commercial-bridging-finance-makes-sense-in-australia-and-when-it-does-not","Sep 13, 2026","guide","indexable","true","2026-08-05","2026-09-02","11","src/content/case-studies/case-study-bridging-loan-won-the-property-auction.md; src/content/case-studies/parramatta-mixed-use-development.md; src/content/guides/bridging-finance-auction-settlement-case-study.md","0","310","improve","","Historical demand is meaningful; preserve the URL and improve query alignment, opening answer and internal links.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/insights","/resources/insights","Jun 27, 2026","resource","indexable","true","2026-08-06","2027-02-02","4","src/config/site-route-manifest.ts; src/pages/GuideArticle.tsx; src/pages/Homepage.tsx","0","79","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/tools","/resources/tools","Aug 2, 2026","resource","indexable","true","2026-08-06","2027-02-02","15","src/components/Footer.tsx; src/components/Navbar.tsx; src/config/site-route-manifest.ts","0","248","improve","","Historical demand is meaningful; preserve the URL and improve query alignment, opening answer and internal links.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/tools/asset-finance-roi-calculator","/resources/tools/asset-finance-roi-calculator","Apr 24, 2026","tool","indexable","true","2026-08-06","2026-11-04","1","src/pages/Tools.tsx","0","23","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2026-11-04"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/tools/commercial-property-loan-calculator","/resources/tools/commercial-property-loan-calculator","Apr 24, 2026","tool","indexable","true","2026-08-06","2026-11-04","2","src/config/site-route-manifest.ts; src/pages/Tools.tsx","1","108","improve","","Historical demand is meaningful; preserve the URL and improve query alignment, opening answer and internal links.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/tools/commercial-real-estate-calculator","/resources/tools/commercial-real-estate-calculator","May 24, 2026","tool","indexable","true","2026-08-06","2026-11-04","1","src/pages/Tools.tsx","0","102","improve","","Historical demand is meaningful; preserve the URL and improve query alignment, opening answer and internal links.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/services","/services","Aug 2, 2026","service","indexable","true","2026-08-06","2026-11-04","373","src/components/AssetBackedLendingCityPage.tsx; src/components/AssetFinanceCityPage.tsx; src/components/BridgingFinanceCityPage.tsx","0","254","improve","","Historical demand is meaningful; preserve the URL and improve query alignment, opening answer and internal links.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/services/asset-backed-lending/gold-coast","/services/asset-backed-lending/gold-coast","Mar 24, 2026","location","indexable","true","2026-08-06","2026-11-04","3","src/pages/services/AssetBackedLending.tsx; src/pages/services/cities/AssetFinanceGoldCoast.tsx; src/pages/Services.tsx","0","124","improve","","Historical demand is meaningful; preserve the URL and improve query alignment, opening answer and internal links.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/services/bridging-finance","/services/bridging-finance","May 12, 2026","service","indexable","true","2026-08-05","2026-09-02","43","src/components/BridgingFinanceCityPage.tsx; src/components/Footer.tsx; src/config/site-route-manifest.ts","0","3","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2026-09-02"
"Crawled - currently not indexed","https://emetcapital.com.au/services/bridging-finance/cities/melbourne","/services/bridging-finance/cities/melbourne","Aug 8, 2026","location","indexable","true","2026-08-06","2026-11-04","3","src/content/guides/bridging-finance-melbourne-fast-property-solutions.md; src/pages/services/BridgingFinance.tsx; src/pages/Services.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Crawled - currently not indexed","https://emetcapital.com.au/services/business-acquisition","/services/business-acquisition","Jun 21, 2026","service","indexable","true","2026-08-06","2026-11-04","19","src/components/BusinessAcquisitionCityPage.tsx; src/config/site-route-manifest.ts; src/content/case-studies/melbourne-collingwood-refinancing.md","0","175","improve","","Historical demand is meaningful; preserve the URL and improve query alignment, opening answer and internal links.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/services/equipment-finance","/services/equipment-finance","Jun 26, 2026","service","indexable","true","2026-08-05","2026-09-02","14","src/components/EquipmentFinanceCityPage.tsx; src/content/case-studies/newcastle-merewether-equipment-finance.md; src/content/guides/equipment-finance-and-leasing-australia.md","0","2650","improve","","Historical demand is meaningful; preserve the URL and improve query alignment, opening answer and internal links.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/services/first-second-mortgages/cities/adelaide","/services/first-second-mortgages/cities/adelaide","Aug 7, 2026","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/FirstSecondMortgages.tsx","0","1","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Crawled - currently not indexed","https://emetcapital.com.au/services/first-second-mortgages/cities/sydney","/services/first-second-mortgages/cities/sydney","Sep 6, 2026","location","indexable","true","2026-08-06","2026-11-04","2","src/content/guides/second-mortgages-in-sydney-fast-local-approval.md; src/pages/services/FirstSecondMortgages.tsx","0","5","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Crawled - currently not indexed","https://emetcapital.com.au/services/private-lending","/services/private-lending","May 12, 2026","service","indexable","true","2026-08-06","2026-11-04","42","src/components/Footer.tsx; src/components/PrivateLendingCityPage.tsx; src/config/site-route-manifest.ts","unavailable","unavailable","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2026-11-04"
"Crawled - currently not indexed","https://emetcapital.com.au/services/smsf-lending","/services/smsf-lending","Jun 24, 2026","service","indexable","true","2026-08-06","2026-11-04","11","src/components/SMSFLendingCityPage.tsx; src/content/case-studies/newcastle-junction-smsf-lending.md; src/content/guides/smsf-loans-for-commercial-property.md","unavailable","unavailable","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2026-11-04"
"Crawled - currently not indexed","https://emetcapital.com.au/terms","/terms","May 12, 2026","legal","indexable","true","2026-08-06","2027-02-02","2","src/components/Footer.tsx; src/config/site-route-manifest.ts","unavailable","unavailable","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/tools/working-capital-calculator","/tools/working-capital-calculator","May 18, 2026","redirect","redirected","false","2026-08-06","2026-11-04","2","src/pages/services/BusinessFinance.tsx; src/pages/Tools.tsx","0","1","merge","/resources/tools/working-capital-calculator","Existing approved consolidation is retained as a direct permanent redirect to /resources/tools/working-capital-calculator.","2026-12-19"
"Discovered - currently not indexed","https://emetcapital.com.au/resources/guides/caveat-loans-online-in-australia-fast-enquiry-vs-real-approval","/resources/guides/caveat-loans-online-in-australia-fast-enquiry-vs-real-approval","N/A","guide","indexable","true","2026-08-05","2026-09-02","3","src/config/discovery-guides.ts; src/content/guides/caveat-lending-australia.md; src/content/guides/no-credit-check-caveat-loans-in-australia-what-business-borrowers-should-know.md","unavailable","unavailable","retain","","Discovered URL remains in the sitemap and linked portfolio; allow a full observation period before a material decision.","2026-09-02"
"Discovered - currently not indexed","https://emetcapital.com.au/resources/guides/commercial-property-loan-serviceability-how-much-can-you-borrow","/resources/guides/commercial-property-loan-serviceability-how-much-can-you-borrow","N/A","guide","indexable","true","2026-08-05","2026-09-02","24","src/config/discovery-guides.ts; src/content/guides/bank-exit-finance-commercial-borrowers-australia.md; src/content/guides/bridging-loan-exit-strategies-plan-your-repayment-path.md","unavailable","unavailable","retain","","Discovered URL remains in the sitemap and linked portfolio; allow a full observation period before a material decision.","2026-09-02"
"Discovered - currently not indexed","https://emetcapital.com.au/resources/guides/how-to-buy-commercial-property-step-by-step-guide","/resources/guides/how-to-buy-commercial-property-step-by-step-guide","N/A","guide","indexable","true","2026-08-05","2026-09-02","11","src/config/discovery-guides.ts; src/content/case-studies/adelaide-cbd-asset-backed-lending.md; src/content/guides/commercial-mortgages-vs-residential-key-differences-explained.md","unavailable","unavailable","retain","","Discovered URL remains in the sitemap and linked portfolio; allow a full observation period before a material decision.","2026-09-02"
"Discovered - currently not indexed","https://emetcapital.com.au/resources/guides/owner-occupier-commercial-loans-buy-your-business-premises","/resources/guides/owner-occupier-commercial-loans-buy-your-business-premises","N/A","guide","indexable","true","2026-08-05","2026-09-02","12","src/config/discovery-guides.ts; src/content/guides/bridging-finance-auction-settlement-case-study.md; src/content/guides/commercial-property-investor-loan-checklist.md","unavailable","unavailable","retain","","Discovered URL remains in the sitemap and linked portfolio; allow a full observation period before a material decision.","2026-09-02"
"Discovered - currently not indexed","https://emetcapital.com.au/resources/guides/purchase-order-finance-vs-trade-finance-in-australia","/resources/guides/purchase-order-finance-vs-trade-finance-in-australia","N/A","guide","indexable","true","2026-08-05","2026-09-02","18","src/config/discovery-guides.ts; src/content/guides/anti-dumping-duty-trade-finance-australia.md; src/content/guides/contract-mobilisation-finance-australia.md","unavailable","unavailable","retain","","Discovered URL remains in the sitemap and linked portfolio; allow a full observation period before a material decision.","2026-09-02"
"Discovered - currently not indexed","https://emetcapital.com.au/resources/guides/supplier-deposit-finance-for-large-orders-australia","/resources/guides/supplier-deposit-finance-for-large-orders-australia","N/A","guide","indexable","true","2026-08-05","2026-09-02","7","src/config/discovery-guides.ts; src/content/guides/eofy-working-capital-loans-before-30-june.md; src/content/guides/foreign-exchange-timing-trade-finance-importers-australia.md","unavailable","unavailable","retain","","Discovered URL remains in the sitemap and linked portfolio; allow a full observation period before a material decision.","2026-09-02"
"Discovered - currently not indexed","https://emetcapital.com.au/resources/tools/second-mortgage-calculator","/resources/tools/second-mortgage-calculator","N/A","tool","indexable","true","2026-08-06","2026-11-04","2","src/config/site-route-manifest.ts; src/pages/Tools.tsx","unavailable","unavailable","retain","","Discovered URL remains in the sitemap and linked portfolio; allow a full observation period before a material decision.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/resources/tools/working-capital-calculator","/resources/tools/working-capital-calculator","N/A","tool","indexable","true","2026-08-06","2026-11-04","2","src/pages/services/BusinessFinance.tsx; src/pages/Tools.tsx","unavailable","unavailable","retain","","Discovered URL remains in the sitemap and linked portfolio; allow a full observation period before a material decision.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/asset-finance","/services/asset-finance","N/A","service","indexable","true","2026-08-06","2026-11-04","31","src/components/AssetFinanceCityPage.tsx; src/content/case-studies/brisbane-fortitude-valley-trade-finance.md; src/content/case-studies/melbourne-richmond-asset-finance.md","unavailable","unavailable","retain","","Discovered URL remains in the sitemap and linked portfolio; allow a full observation period before a material decision.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/asset-finance/cities/adelaide","/services/asset-finance/cities/adelaide","N/A","location","indexable","true","2026-08-06","2026-11-04","2","src/pages/services/AssetFinance.tsx; src/pages/services/cities/AssetBackedLendingAdelaide.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/asset-finance/cities/brisbane","/services/asset-finance/cities/brisbane","N/A","location","indexable","true","2026-08-06","2026-11-04","2","src/pages/services/AssetFinance.tsx; src/pages/services/cities/AssetBackedLendingBrisbane.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/asset-finance/cities/gold-coast","/services/asset-finance/cities/gold-coast","N/A","location","indexable","true","2026-08-06","2026-11-04","2","src/pages/services/AssetFinance.tsx; src/pages/services/cities/AssetBackedLendingGoldCoast.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/asset-finance/cities/melbourne","/services/asset-finance/cities/melbourne","N/A","location","indexable","true","2026-08-06","2026-11-04","2","src/pages/services/AssetFinance.tsx; src/pages/services/cities/AssetBackedLendingMelbourne.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/asset-finance/cities/perth","/services/asset-finance/cities/perth","N/A","location","indexable","true","2026-08-06","2026-11-04","2","src/pages/services/AssetFinance.tsx; src/pages/services/cities/AssetBackedLendingPerth.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/asset-finance/cities/sydney","/services/asset-finance/cities/sydney","N/A","location","indexable","true","2026-08-06","2026-11-04","2","src/pages/services/AssetFinance.tsx; src/pages/services/cities/AssetBackedLendingSydney.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/bridging-finance/cities/brisbane","/services/bridging-finance/cities/brisbane","N/A","location","indexable","true","2026-08-06","2026-11-04","2","src/pages/services/BridgingFinance.tsx; src/pages/Services.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/bridging-finance/cities/gold-coast","/services/bridging-finance/cities/gold-coast","N/A","location","indexable","true","2026-08-06","2026-11-04","2","src/pages/services/BridgingFinance.tsx; src/pages/Services.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/business-acquisition/cities/adelaide","/services/business-acquisition/cities/adelaide","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/BusinessAcquisition.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/business-acquisition/cities/brisbane","/services/business-acquisition/cities/brisbane","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/BusinessAcquisition.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/business-acquisition/cities/gold-coast","/services/business-acquisition/cities/gold-coast","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/BusinessAcquisition.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/business-acquisition/cities/melbourne","/services/business-acquisition/cities/melbourne","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/BusinessAcquisition.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/business-acquisition/cities/perth","/services/business-acquisition/cities/perth","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/BusinessAcquisition.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/business-acquisition/cities/sydney","/services/business-acquisition/cities/sydney","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/BusinessAcquisition.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/caveat-loans/cities/adelaide","/services/caveat-loans/cities/adelaide","N/A","location","indexable","true","2026-08-06","2026-11-04","2","src/components/CaveatLoansCityPage.tsx; src/pages/services/CaveatLoans.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/caveat-loans/cities/brisbane","/services/caveat-loans/cities/brisbane","N/A","location","indexable","true","2026-08-06","2026-11-04","2","src/components/CaveatLoansCityPage.tsx; src/pages/services/CaveatLoans.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/caveat-loans/cities/gold-coast","/services/caveat-loans/cities/gold-coast","N/A","location","indexable","true","2026-08-06","2026-11-04","2","src/components/CaveatLoansCityPage.tsx; src/pages/services/CaveatLoans.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/caveat-loans/cities/melbourne","/services/caveat-loans/cities/melbourne","N/A","location","indexable","true","2026-08-05","2026-09-02","3","src/components/CaveatLoansCityPage.tsx; src/config/site-route-manifest.ts; src/pages/services/CaveatLoans.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-09-02"
"Discovered - currently not indexed","https://emetcapital.com.au/services/caveat-loans/cities/sydney","/services/caveat-loans/cities/sydney","N/A","location","indexable","true","2026-08-06","2026-11-04","4","src/components/CaveatLoansCityPage.tsx; src/config/site-route-manifest.ts; src/content/guides/caveat-loans-online-in-australia-fast-enquiry-vs-real-approval.md","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/commercial-property-development/cities/adelaide","/services/commercial-property-development/cities/adelaide","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/CommercialPropertyDevelopment.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/commercial-property-development/cities/brisbane","/services/commercial-property-development/cities/brisbane","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/CommercialPropertyDevelopment.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/commercial-property-development/cities/gold-coast","/services/commercial-property-development/cities/gold-coast","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/CommercialPropertyDevelopment.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/commercial-property-development/cities/melbourne","/services/commercial-property-development/cities/melbourne","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/CommercialPropertyDevelopment.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/commercial-property-development/cities/perth","/services/commercial-property-development/cities/perth","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/CommercialPropertyDevelopment.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/commercial-property-development/cities/sydney","/services/commercial-property-development/cities/sydney","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/CommercialPropertyDevelopment.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/debt-consolidation","/services/debt-consolidation","N/A","service","indexable","true","2026-08-06","2026-11-04","15","src/components/DebtConsolidationCityPage.tsx; src/content/case-studies/perth-business-group-debt-consolidation.md; src/content/guides/trade-finance-in-australia-how-it-helps-businesses-manage-imports.md","unavailable","unavailable","retain","","Discovered URL remains in the sitemap and linked portfolio; allow a full observation period before a material decision.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/debt-consolidation/cities/adelaide","/services/debt-consolidation/cities/adelaide","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/DebtConsolidation.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/debt-consolidation/cities/brisbane","/services/debt-consolidation/cities/brisbane","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/DebtConsolidation.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/debt-consolidation/cities/gold-coast","/services/debt-consolidation/cities/gold-coast","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/DebtConsolidation.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/debt-consolidation/cities/melbourne","/services/debt-consolidation/cities/melbourne","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/DebtConsolidation.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/debt-consolidation/cities/perth","/services/debt-consolidation/cities/perth","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/DebtConsolidation.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/debt-consolidation/cities/sydney","/services/debt-consolidation/cities/sydney","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/DebtConsolidation.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/equipment-finance/cities/adelaide","/services/equipment-finance/cities/adelaide","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/EquipmentFinance.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/equipment-finance/cities/brisbane","/services/equipment-finance/cities/brisbane","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/EquipmentFinance.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/equipment-finance/cities/gold-coast","/services/equipment-finance/cities/gold-coast","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/EquipmentFinance.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/equipment-finance/cities/melbourne","/services/equipment-finance/cities/melbourne","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/EquipmentFinance.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/equipment-finance/cities/perth","/services/equipment-finance/cities/perth","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/EquipmentFinance.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/equipment-finance/cities/sydney","/services/equipment-finance/cities/sydney","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/EquipmentFinance.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/private-lending/cities/brisbane","/services/private-lending/cities/brisbane","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/Services.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/private-lending/cities/gold-coast","/services/private-lending/cities/gold-coast","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/Services.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/private-lending/cities/perth","/services/private-lending/cities/perth","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/Services.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/private-lending/cities/sydney","/services/private-lending/cities/sydney","N/A","location","indexable","true","2026-08-06","2026-11-04","3","src/config/site-route-manifest.ts; src/pages/services/PrivateLending.tsx; src/pages/Services.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/refinancing-solutions","/services/refinancing-solutions","N/A","service","indexable","true","2026-08-05","2026-09-02","191","src/config/site-route-manifest.ts; src/content/case-studies/adelaide-cbd-asset-backed-lending.md; src/content/case-studies/adelaide-cbd-office-complex.md","unavailable","unavailable","retain","","Discovered URL remains in the sitemap and linked portfolio; allow a full observation period before a material decision.","2026-09-02"
"Discovered - currently not indexed","https://emetcapital.com.au/services/smsf-lending/cities/adelaide","/services/smsf-lending/cities/adelaide","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/SMSFLending.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
"Discovered - currently not indexed","https://emetcapital.com.au/services/smsf-lending/cities/brisbane","/services/smsf-lending/cities/brisbane","N/A","location","indexable","true","2026-08-06","2026-11-04","1","src/pages/services/SMSFLending.tsx","unavailable","unavailable","retain","","Distinct city/service route is retained for observation; city pages are not deindexed solely because GSC excludes them.","2026-11-04"
